Type,price," brand"," model",year," kilometer"," engine",mielage, current price
Bike,180000,"Bajaj","Ns 200",2016,"33000","200", 35, 360000
Bike,90000,"Bajaj","pulsar 150",2017,"40000",150, 35, 274000
Bike,280000,"Royal Enfield","electra",2003,"102000","350",25, 467000
Bike,370000,"Royal Enfield","classic",2017,"23000","350",35, 515000
Bike,250000,"Bajaj","ns 200",2019,"8000","200", 35, 360000
Bike,125000,"Yamaha","FZ v2",2018,"23000","150",40, 314900
Bike,220000,"KTM","Duke 200",2020,"500","200",35, 500000
Scooter,195000,"Honda","Activa",2021,"10000","125", 25, 230000
Bike,85000,"Mahindra","Mojo",2018,"20000","125", 40, 500000
Bike,313000,"Beneli","TNT 15",2020,"3000","150", 37, 410000 
Bike,470000,"CrossFire","Rm",2019,"7000","250", 67, 560000
Bike,175000,"Bajaj","Avenger",1016,"39250","220", 45, 345000
Bike,440000,"Suzuki","Gixxer",2019,"4000","250", 45, 550000
Bike,165000,"Yamaha","R15",2016,"25000","150", 50, 320000
Bike,380000,"Hero","XPulse",2019,"1400","200", 35, 435000
Bike,390000,"Yamaha","MT",2021,"7600","150", 45, 429000
Bike,160000,"Benli","TNT 15",2019,"6700","135", 37, 410000
Bike,270000,"Apache","RTR",2020,"18500","200",35, 324000
BIke,190000,"Yamaha","Salto",2020,"5000","125", 30, 224000
Bike,265000,"KTM","Duke",2016,"4000","200", 35, 500000
Bike,260000,"Bajaj","NS",2019,"12000","200", 35, 360000
Scooter,120000,"Yamaha","Facino",2018,"14000","125", 568, 249000
Bike,90000,"Bajaj","Discover",2016,"14000","125", 32, 205000
Bike,125000,"Bajaj","Pulsar",2012,"40000","220", 50, 290000
Scooter,95000,"Yamaha","RAY",2016,"15000","113", 32, 184000
Bike,95000,"Bajaj","Discover",2016,"30000","125", 32, 205000
Scooter,110000,"Honda","Aviator",2016,"50000","110", 60, 222000
Bike,145000,"Bajaj","Pulsar",2016,"38000","220", 50, 290000
Scooter,155000,"Yamaha","RAY",2018,"9000","113", 32, 184000
Scooter,235000,"Aprilia","SR",2018,"9000","150", 60, 260000
Bike,135000,"Hartford","VR150",2010,"30000","150",50, 320000
Bike,155000,"Honda","CB Sine",2018,"15000","125", 65, 215000
Bike,180000,"Bajaj","Pulsar",2020,"6800","125", 50, 290000
Bike,365000,"Yamaha","FZ",2020,"2800","250", 40, 420000
Bike,160000,"Honda","CB Sine",2019,"11000","125",65, 215000
BIke,690000,"Benli","302S",2019,"10000","302", 35, 860000
Bike,45000,"Bajaj","Pulsar 150",2009,"10000","150", 35, 274000
BIke,500000,"Royal Enfield","Classic 350",2021,"4000","350", 35, 515000
Bike,95000,"Yamaha","FZS",2009,"20000","150", 35, 300000
Bike,190000,"Honda","CB Sine ",2017,"24100","125", 65, 215000